iter	Logloss
0	0.5626016391
1	0.5036023765
2	0.4624236671
3	0.4330407555
4	0.3937108106
5	0.3785229547
6	0.3637022339
7	0.3537083129
8	0.338747041
9	0.3249177096
10	0.3216023981
11	0.3200777117
12	0.3180032284
13	0.3171046537
14	0.311721997
15	0.3103343526
16	0.3070024994
17	0.3053684303
18	0.300274468
19	0.2996923927
20	0.2954470724
21	0.2951009589
22	0.2939785891
23	0.2934479803
24	0.2922147055
25	0.2883372009
26	0.2865659334
27	0.2832765797
28	0.2810263311
29	0.2807146048
30	0.2801394513
31	0.2797453532
32	0.2794168115
33	0.2789606451
34	0.2780031116
35	0.2772694929
36	0.2771320691
37	0.2768246058
38	0.2765637021
39	0.2763479864
40	0.2761986227
41	0.2741192391
42	0.2737929776
43	0.2735855939
44	0.2734880453
45	0.2731341207
46	0.2729370698
47	0.2712104462
48	0.2707450713
49	0.2705398988
50	0.2693662641
51	0.2691666657
52	0.2689901666
53	0.2685602682
54	0.2684215546
55	0.2682516972
56	0.268072005
57	0.2678259831
58	0.2676808402
59	0.2674806744
60	0.2661468284
61	0.2660559119
62	0.2658881485
63	0.2656563507
64	0.2655202886
65	0.2652658477
66	0.2649260589
67	0.2648883947
68	0.2647521963
69	0.2639144036
70	0.2637472344
71	0.26341264
72	0.2632129175
73	0.2615642323
74	0.2613940147
75	0.2612367439
76	0.2608290196
77	0.260666324
78	0.2604125442
79	0.2602853004
80	0.2597877864
81	0.2596061667
82	0.2594613149
83	0.2593732983
84	0.259237268
85	0.2587550345
86	0.2586584656
87	0.2584624496
88	0.2580523144
89	0.257925205
90	0.2576578768
91	0.2575055234
92	0.2572078948
93	0.2568399949
94	0.2566333335
95	0.2563529923
96	0.2562706204
97	0.2561308111
98	0.2559681846
99	0.2557784774
100	0.2549422615
101	0.2546595278
102	0.2545788569
103	0.2545058231
104	0.2544178536
105	0.2543751518
106	0.2543208221
107	0.2542252086
108	0.253877677
109	0.253597614
110	0.2534698707
111	0.2533839635
112	0.2532785909
113	0.2531654169
114	0.2530790241
115	0.2529781701
116	0.252508432
117	0.2523285597
118	0.2522422202
119	0.2521440906
120	0.2519779485
121	0.2519026702
122	0.2518505848
123	0.2517703953
124	0.2515429886
125	0.2515024339
126	0.2513809121
127	0.2512994436
128	0.2511630686
