iter	Passed	Remaining
0	170	83903
1	199	49084
2	232	38092
3	264	32454
4	295	28934
5	327	26667
6	359	24982
7	398	24236
8	426	22977
9	456	22088
10	486	21350
11	513	20631
12	540	19982
13	567	19449
14	599	19131
15	630	18839
16	662	18591
17	695	18382
18	724	18124
19	757	17948
20	791	17838
21	821	17621
22	859	17591
23	881	17256
24	910	17073
25	941	16951
26	967	16736
27	993	16531
28	1020	16361
29	1043	16145
30	1073	16040
31	1106	15979
32	1135	15861
33	1156	15648
34	1185	15552
35	1215	15459
36	1242	15349
37	1268	15217
38	1297	15134
39	1322	15015
40	1349	14909
41	1377	14829
42	1411	14808
43	1443	14766
44	1478	14752
45	1510	14709
46	1541	14660
47	1568	14571
48	1613	14653
49	1655	14703
50	1682	14618
51	1711	14548
52	1736	14446
53	1764	14380
54	1797	14347
55	1828	14302
56	1859	14258
57	1902	14299
58	1946	14350
59	1978	14311
60	2003	14220
61	2030	14146
62	2058	14081
63	2089	14040
64	2116	13965
65	2142	13891
66	2165	13803
67	2189	13714
68	2210	13613
69	2233	13529
70	2253	13428
71	2281	13371
72	2309	13319
73	2333	13243
74	2358	13177
75	2383	13108
76	2412	13062
77	2443	13031
78	2469	12972
79	2491	12894
80	2515	12824
81	2538	12752
82	2560	12679
83	2591	12648
84	2620	12608
85	2644	12547
86	2666	12476
87	2687	12397
88	2707	12322
89	2728	12248
90	2749	12176
91	2773	12117
92	2795	12054
93	2820	12002
94	2845	11950
95	2868	11890
96	2892	11837
97	2914	11777
98	2938	11722
99	2963	11675
100	2996	11660
101	3030	11648
102	3052	11586
103	3072	11522
104	3094	11463
105	3114	11400
106	3137	11348
107	3160	11296
108	3181	11239
109	3202	11179
110	3225	11127
111	3250	11085
112	3270	11028
113	3292	10974
114	3315	10928
115	3338	10877
116	3361	10833
117	3387	10794
118	3412	10754
119	3438	10716
120	3458	10662
121	3485	10627
122	3506	10577
123	3525	10518
124	3543	10461
125	3564	10410
126	3583	10354
127	3600	10296
128	3622	10250
129	3647	10211
130	3670	10169
131	3696	10137
132	3721	10100
133	3743	10058
134	3761	10003
135	3781	9954
136	3808	9924
137	3832	9886
138	3855	9845
139	3880	9811
140	3905	9777
141	3928	9738
142	3953	9704
143	3976	9664
144	4003	9635
145	4025	9594
146	4047	9553
147	4071	9518
148	4095	9483
149	4118	9444
150	4145	9416
151	4168	9378
152	4193	9345
153	4217	9310
154	4243	9281
155	4271	9254
156	4301	9233
157	4331	9210
158	4410	9292
159	4447	9283
160	4484	9275
161	4521	9266
162	4567	9274
163	4602	9260
164	4648	9268
165	4692	9272
166	4724	9251
167	4752	9222
168	4781	9194
169	4804	9156
170	4836	9135
171	4864	9106
172	4893	9079
173	4927	9062
174	4959	9041
175	4991	9018
176	5020	8991
177	5045	8957
178	5074	8930
179	5101	8899
180	5128	8868
181	5155	8837
182	5184	8810
183	5206	8772
184	5232	8740
185	5255	8702
186	5279	8667
187	5300	8627
188	5323	8590
189	5351	8562
190	5373	8524
191	5398	8491
192	5418	8451
193	5444	8418
194	5465	8379
195	5487	8342
196	5511	8309
197	5538	8279
198	5559	8241
199	5580	8204
200	5606	8172
201	5627	8135
202	5652	8103
203	5675	8068
204	5700	8035
205	5722	8000
206	5742	7962
207	5768	7931
208	5790	7895
209	5816	7866
210	5838	7830
211	5862	7797
212	5886	7765
213	5908	7730
214	5936	7703
215	5963	7675
216	5988	7643
217	6013	7612
218	6037	7581
219	6064	7553
220	6090	7523
221	6115	7492
222	6139	7460
223	6163	7429
224	6190	7400
225	6213	7367
226	6238	7338
227	6260	7303
228	6288	7276
229	6311	7244
230	6336	7214
231	6359	7181
232	6384	7151
233	6409	7121
234	6433	7090
235	6454	7056
236	6476	7022
237	6498	6990
238	6517	6954
239	6538	6919
240	6564	6891
241	6584	6856
242	6607	6824
243	6630	6793
244	6651	6760
245	6674	6728
246	6696	6696
247	6719	6665
248	6745	6637
249	6768	6606
250	6797	6580
251	6822	6551
252	6844	6519
253	6865	6487
254	6891	6459
255	6913	6427
256	6938	6398
257	6960	6366
258	6982	6335
259	7007	6307
260	7032	6278
261	7058	6250
262	7084	6222
263	7107	6192
264	7133	6164
265	7154	6132
266	7177	6102
267	7201	6072
268	7223	6041
269	7248	6013
270	7271	5983
271	7299	5957
272	7321	5926
273	7343	5895
274	7365	5865
275	7394	5840
276	7417	5811
277	7444	5784
278	7465	5753
279	7490	5725
280	7514	5696
281	7542	5670
282	7572	5645
283	7598	5618
284	7627	5593
285	7655	5567
286	7680	5539
287	7704	5511
288	7727	5481
289	7753	5453
290	7775	5424
291	7801	5397
292	7828	5370
293	7859	5346
294	7888	5321
295	7920	5297
296	7951	5274
297	7978	5247
298	8009	5223
299	8036	5196
300	8065	5171
301	8101	5150
302	8130	5124
303	8158	5099
304	8187	5073
305	8213	5046
306	8241	5020
307	8271	4994
308	8300	4969
309	8325	4941
310	8355	4916
311	8383	4890
312	8418	4868
313	8449	4843
314	8487	4823
315	8521	4799
316	8565	4782
317	8597	4758
318	8629	4733
319	8657	4707
320	8690	4683
321	8719	4657
322	8752	4633
323	8782	4607
324	8812	4582
325	8841	4556
326	8870	4529
327	8898	4503
328	8932	4479
329	8961	4453
330	8988	4426
331	9019	4400
332	9047	4374
333	9078	4349
334	9115	4326
335	9146	4300
336	9177	4275
337	9206	4249
338	9233	4221
339	9264	4196
340	9297	4171
341	9331	4147
342	9364	4122
343	9392	4095
344	9431	4073
345	9462	4047
346	9493	4021
347	9524	3995
348	9556	3970
349	9586	3944
350	9618	3918
351	9647	3891
352	9674	3864
353	9704	3837
354	9734	3811
355	9764	3785
356	9796	3759
357	9826	3733
358	9852	3705
359	9884	3679
360	9914	3652
361	9945	3626
362	9980	3601
363	10010	3575
364	10038	3547
365	10063	3519
366	10094	3493
367	10126	3467
368	10157	3441
369	10187	3414
370	10214	3386
371	10243	3359
372	10274	3333
373	10323	3312
374	10354	3285
375	10382	3258
376	10410	3230
377	10437	3203
378	10475	3178
379	10509	3152
380	10541	3126
381	10570	3099
382	10600	3072
383	10633	3046
